,condition_concept_id,chi2,p_value
211,197381,9.674084281489721,0.001868853931684208
397,36717114,9.603406053149852,0.0019421678732994992
248,141932,9.599029947105535,0.0019468018820230117
48,314754,9.590268942600067,0.0019561129219658187
1002,4115173,9.507027295204164,0.002046864907857111
380,136788,9.486448099829609,0.0020699516806420757
1943,440321,9.43945379958926,0.002123667314595383
1239,46273539,9.432739082202703,0.0021314569936669997
1917,4213271,9.409910228368666,0.0021581579287737176
902,141825,9.403000739772272,0.002166306048122564
96,4128827,9.389684351449603,0.002182097724601784
912,434056,9.371038629822323,0.0022044057853929716
400,196523,9.35480709438031,0.002224013752424283
1445,4175154,9.332896270112137,0.002250763329015556
1750,440690,9.24470613721601,0.0023617719374564423
169,4228361,9.235061504942063,0.002374244271457447
2413,4207539,9.226453584763743,0.0023854323758978357
1608,4152933,9.217036855841412,0.0023977330112949845
19,80180,9.20731829122467,0.0024104954195725264
1260,314379,9.185707678864581,0.002439122085574606
57,24134,9.180013387152306,0.0024467223401324063
1756,443615,9.17043893110454,0.0024595557262482534
774,434169,9.122947070655144,0.0025242298940273875
679,444100,9.097334564400327,0.0025598226306991993
738,4048512,9.033409332688102,0.0026508961870622878
121,4215402,9.02512532464247,0.0026629366788156936
2552,141056,8.99756028380666,0.0027034026576943718
582,4025677,8.904430735104738,0.0028447954878071348
101,4338120,8.897401859151211,0.0028557670748402125
964,132706,8.837115729747538,0.0029516525380676073
612,438120,8.758647883753873,0.0030813741212874697
2773,4219836,8.743376087185371,0.00310728691789263
6720,135852,8.74317654872753,0.003107626951032863
6298,196048,8.74317654872753,0.003107626951032863
175,36713926,8.702599863838367,0.0031775652101306644
3220,4179873,8.69987900014625,0.0031823117397851305
2796,4150985,8.681628941565117,0.0032143356432319786
786,443257,8.64479273727081,0.0032799744936193973
91,432312,8.560489902901674,0.003435369634832746
161,432870,8.560131666419347,0.0034360456979501187
2669,4204781,8.534058135379631,0.003485616563067127
436,4266809,8.508566901319808,0.003534783361356832
1781,4008220,8.477464858813345,0.003595728438524583
145,440383,8.44910433309819,0.0036522326243861145
1513,197610,8.442213453028812,0.0036660975242335673
3452,439256,8.438013903659044,0.0036745735313452924
697,77963,8.374741536486123,0.003804716634740041
1448,255841,8.363327771867777,0.0038286878066017406
277,443612,8.360046626811803,0.003835607252136425
3432,4197184,8.312185114526827,0.003937998620389372
1371,315558,8.296204140633549,0.003972802934569117
945,134441,8.269787988444666,0.004031021327264952
2291,436940,8.262112890760097,0.004048098642286124
1383,4309257,8.218732862238813,0.004146014044683054
897,439658,8.1768022571097,0.004242949139083742
39,4171917,8.120876609579147,0.004375839496067744
1633,4242574,8.11421277787201,0.004391954097489801
4580,138996,8.088191966680307,0.004455458871137907
1128,432585,8.059841924879882,0.0045257132085006575
5191,40486896,8.04515499926974,0.0045625514656577664
924,373764,8.017494726339065,0.0046327612079968055
549,46273719,8.016704813475464,0.004634782315973829
2865,36684646,8.012021302992096,0.004646784225781683
920,77234,8.005628297776473,0.004663217978924752
2565,4274575,8.005166713468256,0.004664406808693835
