,condition_concept_id,n_people
991,73008,2478
992,375806,2475
993,4226021,2467
994,4134862,2463
995,434770,2461
996,77234,2460
997,44782743,2460
998,4032787,2459
999,261889,2455
1000,196858,2446
1001,4286201,2443
1002,73571,2441
1003,27587,2440
1004,37109301,2432
1005,4098611,2427
1006,46273403,2426
1007,4347178,2425
1008,443614,2414
1009,256723,2414
1010,40481920,2411
1011,36715746,2409
1012,436278,2408
1013,43021974,2401
1014,198202,2397
1015,139900,2395
1016,4211657,2391
1017,43531028,2390
1018,40491960,2384
1019,4125650,2383
1020,4128827,2382
1021,376382,2379
1022,4013643,2378
1023,44782446,2376
1024,4311629,2373
1025,4030035,2371
1026,435371,2365
1027,442268,2354
1028,72711,2337
1029,4252872,2337
1030,437530,2334
1031,200164,2333
1032,435081,2333
1033,4096313,2328
1034,73574,2327
1035,4327889,2324
1036,80767,2324
1037,45768963,2318
1038,4009186,2316
1039,4295956,2311
1040,378735,2311
1041,4284982,2309
1042,4335891,2306
1043,439005,2306
1044,4312493,2306
1045,194847,2302
1046,312327,2302
1047,4241908,2301
1048,317376,2299
1049,4216644,2286
1050,192956,2275
1051,4207936,2273
1052,4111566,2267
1053,4141190,2258
1054,45763761,2254
1055,4166126,2252
1056,36713170,2251
1057,4245842,2250
1058,4010658,2248
1059,440933,2247
1060,134452,2238
1061,374043,2236
1062,434337,2233
1063,4295336,2225
1064,36716852,2216
1065,45772065,2216
1066,4353709,2214
1067,435227,2213
1068,4164151,2204
1069,45768450,2203
1070,317009,2203
1071,4106682,2199
1072,37016768,2199
1073,201820,2197
1074,78272,2185
1075,375824,2181
1076,432586,2181
1077,135350,2176
1078,45770881,2175
1079,80141,2173
1080,316999,2171
1081,25844,2170
1082,441284,2162
1083,4167097,2160
1084,4204991,2159
1085,42873169,2151
1086,4031164,2149
1087,4182683,2147
1088,4009303,2146
1089,441701,2144
1090,40490423,2135
1091,4151134,2127
1092,4151978,2127
1093,195590,2127
1094,4208264,2123
1095,4167102,2122
1096,436353,2121
1097,373179,2121
1098,438406,2115
1099,74731,2109
1100,134681,2104
1101,4003171,2103
1102,79916,2100
1103,4050853,2096
1104,4138412,2095
1105,36712827,2095
1106,4195694,2086
1107,43531616,2085
1108,72404,2079
1109,4308696,2079
1110,196569,2074
1111,4038838,2069
1112,376115,2066
1113,4129404,2064
1114,79936,2059
1115,4307774,2056
1116,4307925,2055
1117,4221495,2054
1118,40488439,2050
1119,140966,2049
1120,37309664,2046
1121,438430,2045
1122,201688,2043
1123,36715917,2038
1124,258180,2035
1125,4222001,2032
1126,438021,2032
1127,75344,2031
1128,434169,2027
1129,4108235,2025
1130,372903,2023
1131,75865,2020
1132,4323418,2018
1133,438887,2017
1134,4038038,2006
1135,253796,2006
1136,4104431,2006
1137,314664,2001
1138,4198042,1996
1139,4281109,1995
1140,4065997,1994
1141,35611566,1991
1142,376124,1990
1143,435950,1987
1144,261236,1985
1145,4295624,1982
1146,40480453,1978
1147,444191,1973
1148,320073,1969
1149,198571,1967
1150,36717267,1960
1151,4294416,1951
1152,439007,1949
1153,4134603,1940
1154,441561,1939
1155,374801,1939
1156,314171,1937
1157,4222174,1931
1158,4291304,1918
1159,444445,1918
1160,4308802,1914
1161,132466,1913
1162,4110914,1905
1163,139850,1904
1164,4025325,1900
1165,443236,1898
1166,195847,1897
1167,4062387,1897
1168,4110192,1896
1169,4101362,1893
1170,80497,1891
1171,81186,1891
1172,375827,1888
1173,40492392,1888
1174,80951,1886
1175,4269569,1884
1176,316135,1884
1177,438155,1883
1178,141825,1880
1179,442775,1879
1180,4093672,1878
1181,194993,1871
1182,138841,1869
1183,762212,1868
1184,4332304,1866
1185,436421,1865
1186,444130,1863
1187,439013,1860
1188,4154088,1854
1189,72995,1853
1190,376686,1849
1191,135473,1848
1192,372914,1845
1193,37109050,1844
1194,433495,1843
1195,4158910,1842
1196,434814,1839
1197,4167914,1839
1198,4300557,1837
1199,193688,1836
1200,45767658,1833
1201,81893,1831
1202,376422,1830
1203,314962,1828
1204,372610,1828
1205,4175616,1827
1206,46271902,1826
1207,4167328,1825
1208,4131908,1824
1209,381001,1821
1210,4112334,1818
1211,43021248,1815
1212,255919,1815
1213,4168213,1815
1214,4055361,1813
1215,4155033,1812
1216,374919,1807
1217,36712821,1804
1218,43021250,1804
1219,440276,1803
1220,4211001,1802
1221,40321716,1800
1222,432582,1797
1223,4231770,1797
1224,4216972,1796
1225,4013604,1795
1226,438112,1794
1227,138994,1789
1228,437969,1787
1229,134461,1781
1230,4052227,1778
1231,37016338,1774
1232,135526,1770
1233,372897,1769
1234,433196,1768
1235,196726,1768
1236,36715747,1767
1237,4192647,1765
1238,46286594,1761
1239,4150489,1759
1240,374347,1759
1241,435119,1757
1242,437779,1756
1243,78234,1756
1244,4168686,1754
1245,4110189,1754
1246,137785,1751
1247,4056717,1749
1248,37016348,1749
1249,46270166,1744
1250,193250,1742
1251,256722,1735
1252,374022,1734
1253,378726,1732
1254,376125,1726
1255,433991,1725
1256,4106681,1724
1257,40481354,1724
1258,43530685,1722
1259,441838,1721
1260,4207505,1720
1261,4347174,1719
1262,377888,1718
1263,193520,1717
1264,75091,1709
1265,4013526,1704
1266,312622,1703
1267,4311159,1702
1268,193165,1701
1269,378416,1698
1270,4053600,1697
1271,4066613,1695
1272,317585,1694
1273,4177944,1692
1274,40481299,1691
1275,138519,1690
1276,43530851,1687
1277,372604,1686
1278,4299418,1683
1279,441428,1683
1280,4265749,1678
1281,139766,1678
1282,4162441,1670
1283,434008,1670
1284,193666,1664
1285,377286,1652
1286,433450,1651
1287,198985,1646
1288,4214530,1642
1289,4201390,1638
1290,438005,1637
1291,376063,1636
1292,4000968,1634
1293,4094683,1633
1294,44784631,1633
1295,4244078,1629
1296,81426,1625
1297,4109135,1623
1298,379832,1623
1299,432250,1619
1300,192353,1613
1301,4082311,1612
1302,37116608,1603
1303,375527,1598
1304,136198,1595
1305,4216188,1595
1306,4085332,1593
1307,440548,1592
1308,135858,1591
1309,435463,1590
1310,4222876,1586
1311,36684646,1586
1312,74130,1586
1313,438409,1585
1314,4140438,1579
1315,4165998,1578
1316,4111099,1578
1317,373175,1577
1318,4043731,1575
1319,4289309,1575
1320,4129405,1574
1321,4028373,1574
1322,377550,1571
1323,78162,1570
1324,381035,1569
1325,441553,1568
1326,4323342,1567
1327,4083556,1567
1328,443785,1566
1329,4179675,1566
1330,433740,1565
1331,4103418,1560
1332,379801,1560
1333,443795,1558
1334,36684711,1556
1335,4009610,1549
1336,43531622,1545
1337,192683,1543
1338,198401,1529
1339,315276,1528
1340,45763763,1527
1341,4197184,1526
1342,196738,1526
1343,43021779,1525
1344,43022059,1524
1345,375519,1521
1346,198700,1521
1347,136934,1520
1348,140949,1517
1349,37116630,1515
1350,434633,1513
1351,74728,1513
1352,4068613,1513
1353,4344612,1511
1354,380375,1508
1355,435374,1507
1356,4274575,1503
1357,4339013,1501
1358,762213,1500
1359,435790,1499
1360,436247,1498
1361,4175154,1497
1362,4033802,1493
1363,197150,1492
1364,73560,1491
1365,4080368,1489
1366,40490888,1487
1367,4064036,1485
1368,432463,1485
1369,46269755,1484
1370,441818,1482
1371,439937,1482
1372,4107655,1472
1373,4093531,1469
1374,200452,1468
1375,201066,1466
1376,43530744,1464
1377,4262562,1463
1378,30133,1463
1379,36712794,1463
1380,440374,1460
1381,45763759,1458
1382,4232181,1452
1383,435508,1452
1384,4317258,1449
1385,4092879,1449
1386,4216670,1448
1387,4043371,1447
1388,4134455,1440
1389,374027,1439
1390,45757468,1432
1391,40483292,1428
1392,4289914,1427
1393,4164959,1425
1394,37109843,1425
1395,44782732,1419
1396,435784,1418
1397,315085,1417
1398,36712779,1415
1399,433633,1414
1400,436231,1414
1401,43021778,1412
1402,36712795,1412
1403,36712986,1411
1404,197676,1411
1405,4291025,1410
1406,374013,1410
1407,312938,1408
1408,441536,1408
1409,195834,1407
1410,40479625,1406
1411,46269752,1406
1412,436940,1406
1413,40493210,1400
1414,133228,1399
1415,46273487,1393
1416,4051747,1390
1417,4313365,1388
1418,4110190,1388
1419,374923,1388
1420,381570,1385
1421,4207935,1383
1422,4229897,1380
1423,377845,1378
1424,4091513,1377
1425,46272380,1376
1426,4155764,1374
1427,313219,1373
1428,4336157,1370
1429,4136722,1369
1430,4185356,1368
1431,439254,1365
1432,4138760,1364
1433,78786,1363
1434,140480,1362
1435,4243587,1361
1436,36715748,1360
1437,4272156,1360
1438,23653,1359
1439,4290728,1358
1440,195596,1355
1441,199876,1354
1442,4317982,1351
1443,45763778,1347
1444,314965,1339
1445,4261072,1338
1446,4053828,1338
1447,434311,1338
1448,45768449,1335
1449,28060,1333
1450,44783205,1331
1451,377298,1331
1452,4032799,1330
1453,4067313,1329
1454,73001,1329
1455,444457,1328
1456,45763846,1328
1457,4015350,1325
1458,44784454,1325
1459,45757307,1324
1460,44783163,1323
1461,78832,1321
1462,4149353,1321
1463,40479594,1319
1464,376973,1318
1465,436076,1317
1466,4184423,1315
1467,440814,1313
1468,192953,1310
1469,40481319,1310
1470,381549,1309
1471,4092538,1309
1472,4117686,1308
1473,80492,1306
1474,4129408,1306
1475,4147660,1305
1476,46273829,1305
1477,372907,1305
1478,4299829,1301
1479,4144895,1299
1480,75347,1298
1481,196734,1298
1482,375800,1297
1483,77081,1295
1484,4141028,1295
1485,433329,1294
1486,45770830,1291
1487,4056428,1291
1488,4009619,1289
1489,381033,1288
1490,4198081,1286
1491,40481180,1282
1492,375281,1281
1493,40481325,1279
1494,444211,1278
1495,435553,1278
1496,4194894,1277
1497,4136228,1277
1498,4155039,1275
1499,77129,1274
1500,4148260,1274
1501,77963,1273
1502,4320635,1271
1503,4216083,1271
1504,35622958,1268
1505,40481861,1267
1506,313226,1266
1507,141232,1260
1508,4129393,1259
1509,760895,1258
1510,4028253,1255
1511,4176892,1254
1512,4339010,1253
1513,4201565,1253
1514,46269750,1253
1515,192606,1252
1516,132342,1251
1517,4151528,1251
1518,4058388,1250
1519,4152350,1250
1520,198964,1250
1521,439411,1250
1522,74396,1249
1523,193874,1249
1524,31057,1248
1525,4307956,1248
1526,435644,1243
1527,441258,1240
1528,4078201,1240
1529,317003,1239
1530,4222415,1237
1531,36712806,1236
1532,134118,1236
1533,4022202,1235
1534,4044053,1231
1535,46269754,1230
1536,437233,1229
1537,29056,1228
1538,4136557,1227
1539,4027369,1226
1540,198464,1222
1541,4129420,1222
1542,133853,1219
1543,439676,1219
1544,4157454,1218
1545,4068617,1218
1546,762206,1215
1547,4260520,1215
1548,196158,1215
1549,197921,1214
