,condition_concept_id,chi2,p_value,p_adj
989,73754,103.77108790757384,2.2709504740624904e-24,1.2136016464219484e-22
872,317002,103.42263638002066,2.707633439537796e-24,1.437922583484541e-22
919,40479576,101.46741367600836,7.264878626119975e-24,3.834141222741703e-22
165,4228802,101.14858956877899,8.533567893034284e-24,4.475909036241501e-22
458,432870,100.36465473793942,1.2677028519209411e-23,6.608387198019777e-22
793,141941,99.25947057416519,2.2149485853198348e-23,1.1475864713086974e-21
860,4232697,97.7200643568805,4.81914396998287e-23,2.481713109875421e-21
545,75576,96.6422749611766,8.305580716538188e-23,4.2513565872545174e-21
15,4215402,96.14555999173331,1.0673998750946503e-22,5.430956130945655e-21
205,433440,96.11083906961807,1.0862844918478672e-22,5.494142456685314e-21
275,4301699,95.86003513657201,1.2329943999144022e-22,6.199262376374364e-21
1248,4181965,94.78004870654632,2.127592245537387e-22,1.0634206653135987e-20
295,436230,94.46742936315786,2.4915856579994695e-22,1.2380703705275725e-20
811,4298026,94.26055343287925,2.7660805483189046e-22,1.366475954596845e-20
25,4200238,94.19267053553057,2.8625869510307467e-22,1.4059769550814018e-20
1215,372887,93.85910169055947,3.388028249600757e-22,1.6544871285550362e-20
825,26662,92.67907603813813,6.150036640877221e-22,2.9861063621447853e-20
440,376065,91.99520201125742,8.688688641311087e-22,4.1947606468875174e-20
206,45766714,91.89007171148705,9.162756678277459e-22,4.398640875442009e-20
906,194081,91.6674513689349,1.025376512938442e-21,4.8947327137291804e-20
518,436676,91.49291381133585,1.1199251113828147e-21,5.3162031683909364e-20
74,314666,91.2660603519324,1.2559647843349641e-21,5.928851540274551e-20
883,201061,91.20906771849491,1.2926652580572124e-21,6.068384915863057e-20
147,4111409,90.92045438692546,1.4956553506698773e-21,6.982738194858213e-20
245,201826,90.8714600589762,1.5331516462896748e-21,7.118682807936265e-20
607,4079749,90.82504071469216,1.5695443090073613e-21,7.248053257410625e-20
42,4213540,90.73370224361369,1.643695606018527e-21,7.549449494237526e-20
546,314131,90.58214782259779,1.7745425941000294e-21,8.106606678531156e-20
125,4141454,90.11522886300442,2.2468559756328846e-21,1.0209377125643112e-19
1021,373474,89.64142642343177,2.854832825748344e-21,1.2902933255523235e-19
1095,4131963,89.31483455438399,3.3672470839960155e-21,1.5138358980272033e-19
190,30437,89.09900967208743,3.755389225581604e-21,1.6794495920929942e-19
665,43531578,89.04898184198947,3.851569370327272e-21,1.7134442376791008e-19
313,201618,88.2092257259296,5.888462506180081e-21,2.605951349740216e-19
264,78508,87.87233655534139,6.981833704623749e-21,3.0738155952429013e-19
620,4152351,87.48131532951558,8.507974676563893e-21,3.7104715852604083e-19
130,40481101,87.47962154189565,8.515263729855004e-21,3.7104715852604083e-19
740,42536696,87.37566638619701,8.974789706320718e-21,3.89075449666363e-19
656,432738,86.86219345019848,1.1635245254332972e-20,5.018511620612551e-19
930,437677,86.70548241777465,1.2594718663087399e-20,5.404915377790587e-19
60,4211231,85.95411145723702,1.8415991612529704e-20,7.863350790535924e-19
247,4193704,85.87282857235431,1.9188736547249518e-20,8.152334722098958e-19
353,4344500,85.72940872349551,2.063215390095918e-20,8.721960780917917e-19
1243,4299417,85.67617258417808,2.1195153039169985e-20,8.915604721476602e-19
697,381591,85.47244186581861,2.3495336066159532e-20,9.834476381978203e-19
911,433968,85.08555272950265,2.8573066896304117e-20,1.1901242618524318e-18
605,437584,84.94476528653652,3.068174551842789e-20,1.2717209349760086e-18
669,197988,84.50086231436902,3.8404729570810315e-20,1.5841018794328896e-18
1514,199075,84.37935183135508,4.083907134238352e-20,1.6763748270349408e-18
1111,4111921,84.16084274022607,4.561155997618878e-20,1.8632760822965197e-18
355,378735,84.0838665208469,4.742248794625156e-20,1.9279850721497585e-18
83,444101,84.00968244502977,4.923574986223872e-20,1.9921722218068687e-18
1534,4275423,83.83213748151923,5.3862066213130976e-20,2.169033064516464e-18
213,42537729,83.68179885513753,5.811785777697306e-20,2.3293747053346232e-18
2478,4307956,83.53433130595084,6.261899817206055e-20,2.497998251023467e-18
402,442793,83.40325458348053,6.69117432384788e-20,2.6567714126044592e-18
623,4317977,83.260900511865,7.190791135403733e-20,2.841867547791884e-18
372,4297894,83.23988560818619,7.267642787643226e-20,2.858942628083541e-18
180,4172970,83.15666502350943,7.58013545223518e-20,2.9681295362968814e-18
378,36684319,82.65971871049899,9.746740444965898e-20,3.7989932826089555e-18
82,443600,82.6487906313572,9.800775859710377e-20,3.802611528765254e-18
73,312998,82.6067292914971,1.0011565022181052e-19,3.866739454248746e-18
416,4338120,82.03730652927786,1.3354207406472064e-19,5.134420829538151e-18
357,377889,81.65957353479988,1.616667933046046e-19,6.1877601022938074e-18
606,440424,79.90852971857734,3.921500017411116e-19,1.494214603046738e-17
2404,374009,79.61717419457645,4.544579594820589e-19,1.723897000767435e-17
233,4155909,79.5604142752399,4.677030137389651e-19,1.7662544478844387e-17
503,136497,79.53574966135014,4.735782567010244e-19,1.7805285164551345e-17
333,200174,79.32708720063887,5.263312223235186e-19,1.970148192107021e-17
636,4096682,79.18188046733476,5.664724117769262e-19,2.1111035451177813e-17
170,140821,78.72267431204249,7.14705233137119e-19,2.6518997231293015e-17
354,443729,78.28341206125747,8.926833697579464e-19,3.297882866449248e-17
587,74132,78.16829879982535,9.462498478260995e-19,3.480642838518774e-17
2492,439935,78.04982358944557,1.0047402850800951e-18,3.6798612941058485e-17
