condition_concept_id,,chi2,p_value,p_adj,,,Article Mentions
442793,,430.05985707325596,1.577103365085897e-95,8.536071963527417e-94,,,
443211,,427.88931656545657,4.680375621837016e-95,2.5201276405248843e-93,,,
433031,,424.78392377397597,2.219128936452134e-94,1.1887210261654935e-92,,,
44784217,,421.9380948395499,9.238453761232679e-94,4.9233852044476925e-92,,,
45768812,,418.89720396449854,4.241149743885992e-93,2.248674905023634e-91,,,
442588,,418.2934660087219,5.739781359287702e-93,3.027807506889228e-91,,,
4196636,,413.2349307815336,7.24388897904015e-92,3.8019441550598605e-90,,,
197675,,412.92305861464564,8.469487409417355e-92,4.422859957721867e-90,,,
373474,,411.5096206116938,1.719975620714938e-91,8.936993325234817e-90,,,
759853,,410.2085268254375,3.301684450254462e-91,1.7070201396539486e-89,,,
435642,,405.7937270415791,3.0181127110987855e-90,1.552684519492009e-88,,,
434894,,405.6629916943647,3.222507254040821e-90,1.64966972334937e-88,,,
4049623,,404.8468855,4.8511451174895606e-90,2.471230395144682e-88,,,
4187218,,404.15013941259315,6.878804581235032e-90,3.4870505955216805e-88,,,
443612,,403.9574835517164,7.576187104351023e-90,3.8219289508939725e-88,,,
80813,,403.48340492815635,9.608360725945671e-90,4.8236755876341746e-88,,,
40405599,,403.08606409223063,1.172583191091878e-89,5.858406020109036e-88,,,
435517,,402.8198420990611,1.339972225490829e-89,6.662675295359185e-88,,,
438720,,402.2824384455653,1.7542035475171868e-89,8.680801555142193e-88,,,
197988,,400.71676007923196,3.845079638188817e-89,1.8937472796236105e-87,,,
24134,,395.94821869594614,4.197276784744416e-88,2.0574575635407532e-86,,,
435613,,393.8889560282714,1.178304259197102e-87,5.748797118110932e-86,,,
36712983,,385.9229263611705,6.3895894010380774e-86,3.1028323857751263e-84,,,
4025938,,385.6841383509147,7.202094593692127e-86,3.481124047332492e-84,,,
137945,,381.0998728623588,7.169725676252092e-85,3.449434686463507e-83,,,
759852,,380.98672605727813,7.58815513756798e-85,3.633922036387394e-83,,,
